Player.Name,Pos,Salary,Team,Opp,Proj.FP
Arizona Cardinals,DK,9700,ARI,SF,18.7
Miami Dolphins,DK,9100,MIA,SD,14.8
New England Patriots,DK,9600,NE,SEA,19.1
Pittsburgh Steelers,DK,8900,PIT,DAL,14.5
San Diego Chargers,DK,9300,SD,MIA,16.6
Seattle Seahawks,DK,9300,SEA,NE,13.6
San Francisco 49ers,DK,8500,SF,ARI,10.4
Cincinnati Bengals,DK,9100,CIN,NYG,15.6
New York Giants,DK,8900,NYG,CIN,15.8
Carson Palmer,QB,7900,ARI,SF,16.9
Dak Prescott,QB,7700,DAL,PIT,16.8
Ryan Tannehill,QB,7200,MIA,SD,15.8
Tom Brady,QB,8300,NE,SEA,17.2
Ben Roethlisberger,QB,7700,PIT,DAL,17.2
Philip Rivers,QB,8100,SD,MIA,16.2
Russell Wilson,QB,7400,SEA,NE,16.4
Colin Kaepernick,QB,7300,SF,ARI,14.4
Andy Dalton,QB,7500,CIN,NYG,16.6
AJ McCarron,QB,5900,CIN,NYG,0
Jeff Driskel,QB,5000,CIN,NYG,0
Keith Wenning,QB,5000,CIN,NYG,0
Eli Manning,QB,7600,NYG,CIN,17
Logan Thomas,QB,5000,NYG,CIN,0
Ryan Nassib,QB,5000,NYG,CIN,0
Josh Johnson,QB,5000,NYG,CIN,0
Andre Ellington,RB,4500,ARI,SF,6
David Johnson,RB,9400,ARI,SF,23.4
Ezekiel Elliott,RB,8900,DAL,PIT,17
Jay Ajayi,RB,7800,MIA,SD,12.5
LeGarrette Blount,RB,6400,NE,SEA,5.2
Dion Lewis,RB,4500,NE,SEA,9.2
Le'Veon Bell,RB,8100,PIT,DAL,18.1
Melvin Gordon,RB,8300,SD,MIA,17.6
Christine Michael,RB,7000,SEA,NE,7.5
C.J. Prosise,RB,4700,SEA,NE,8.8
DuJuan Harris,RB,5200,SF,ARI,7.1
Carlos Hyde,RB,6800,SF,ARI,9.1
Jeremy Hill,RB,6100,CIN,NYG,8.3
Giovani Bernard,RB,5900,CIN,NYG,9.1
Rex Burkhead,RB,4500,CIN,NYG,0
Ryan Hewitt,RB,4500,CIN,NYG,0
Cedric Peerman,RB,4500,CIN,NYG,0
Rashad Jennings,RB,5600,NYG,CIN,10.5
Bobby Rainey,RB,4500,NYG,CIN,0
Nikita Whitlock,RB,4500,NYG,CIN,0
Will Johnson,RB,4500,NYG,CIN,0
Orleans Darkwa,RB,4500,NYG,CIN,0
Paul Perkins,RB,4500,NYG,CIN,9.2
Jason Witten,TE,5400,DAL,PIT,8.2
Martellus Bennett,TE,5300,NE,SEA,5.5
Rob Gronkowski,TE,8000,NE,SEA,11.4
Jesse James,TE,4900,PIT,DAL,6.8
Antonio Gates,TE,5700,SD,MIA,8.5
Jimmy Graham,TE,6600,SEA,NE,9
Tyler Eifert,TE,6100,CIN,NYG,8.4
John Peters,TE,4500,CIN,NYG,0
C.J. Uzomah,TE,4500,CIN,NYG,0
Tyler Kroft,TE,4500,CIN,NYG,0
Jerell Adams,TE,4500,NYG,CIN,3
Ryan Malleck,TE,4500,NYG,CIN,0
Matt LaCosse,TE,4500,NYG,CIN,0
Larry Donnell,TE,4500,NYG,CIN,0
Will Tye,TE,4500,NYG,CIN,5
Michael Floyd,WR,5000,ARI,SF,5.3
J.J. Nelson,WR,5600,ARI,SF,8.7
John Brown,WR,6200,ARI,SF,9.5
Larry Fitzgerald,WR,7200,ARI,SF,12.1
Terrance Williams,WR,5200,DAL,PIT,6.3
Cole Beasley,WR,6500,DAL,PIT,7.9
Dez Bryant,WR,7500,DAL,PIT,12.1
Kenny Stills,WR,5700,MIA,SD,6.8
DeVante Parker,WR,5600,MIA,SD,9.2
Jarvis Landry,WR,6800,MIA,SD,12.8
Chris Hogan,WR,5900,NE,SEA,5.4
Danny Amendola,WR,4600,NE,SEA,6.4
Julian Edelman,WR,6000,NE,SEA,11.7
Sammie Coates,WR,5400,PIT,DAL,6.8
Eli Rogers,WR,4900,PIT,DAL,7.4
Antonio Brown,WR,8600,PIT,DAL,18.6
Griff Whalen,WR,4500,SD,MIA,6.2
Dontrelle Inman,WR,5300,SD,MIA,8.6
Tyrell Williams,WR,5900,SD,MIA,9.6
Tyler Lockett,WR,4900,SEA,NE,6.1
Jermaine Kearse,WR,4500,SEA,NE,6.6
Doug Baldwin,WR,6900,SEA,NE,10.7
Quinton Patton,WR,4500,SF,ARI,5.1
Torrey Smith,WR,5200,SF,ARI,6.5
Jeremy Kerley,WR,5100,SF,ARI,7.7
A.J. Green,WR,8700,CIN,NYG,16.2
Brandon LaFell,WR,5600,CIN,NYG,6.4
Tyler Boyd,WR,4600,CIN,NYG,5.7
Cody Core,WR,4500,CIN,NYG,0
James Wright,WR,4500,CIN,NYG,0
Alex Erickson,WR,4500,CIN,NYG,0
Odell Beckham Jr.,WR,9000,NYG,CIN,15.8
Sterling Shepard,WR,5800,NYG,CIN,9.3
Victor Cruz,WR,5000,NYG,CIN,7.5
Tavarres King,WR,4500,NYG,CIN,0
Roger Lewis,WR,4500,NYG,CIN,0
Kadron Boone,WR,4500,NYG,CIN,0
Dwayne Harris,WR,4500,NYG,CIN,0
